SpeciesLatinName,SpeciesCommonName,Order,n_samples,adult_mass_g,max_lifespan_y,TxEx2-,BivProm2+,BivProm2-,ReprPC1+,ReprPC1-,BivProm1+,BivProm1-,EnhWk4-,TxEx1-,PromF5+,PromF5-,TxEnh4-,TxEx3-,EnhA17-,BivProm4+,BivProm4-,Tx7-,PromF4+,PromF4-,TxEnh5-,TxWk2-,BivProm3+,BivProm3-,EnhA2-,TxWk1-,TSS1+,TSS1-,EnhWk8-,EnhA6-,EnhWk3-,Tx6-,Tx5-,TSS2+,TSS2-,Tx8-,ReprPC4-,Quies3-,ReprPC2+,ReprPC2-,ReprPC6-,ReprPC3-,EnhA18-,PromF3+,PromF3-,TxEx4-,ReprPC5-,TxEnh8-,ReprPC7-,EnhA19-,Tx4-,PromF2+,Quies1-,Acet2-,PromF1+
Pteropus poliocephalus,Grey-headed flying fox,Chiroptera,16,675.0,23.6,0.43635350812694323,2.3202199222293767,1.823832184386003,1.8526619754584779,0.6230073063796935,1.7180306082042622,1.5711920974607005,1.2300123620924879,1.2277430275392005,2.0804080632062325,1.6054239960562415,1.2683247133222324,0.5024951824854623,0.6180769933865066,1.7679005332354631,0.9674003549423484,1.0946834608054627,0.21907792458407696,0.4776914630674996,0.8521479465706293,1.1543948535849329,1.577343805424439,0.7586147812820292,0.9995302671111079,0.10888732438526288,1.7260425902545802,0.34124902356547276,0.16445193256857485,0.730520428220623,0.771154535618086,0.7599582068960102,0.4704914030230759,1.0368087036884037,1.265200281977657,0.09123482983779933,1.571129821728584,0.3112469362367277,0.15306368917543792,0.5741571106547847,2.023062105544035,0.5725164802681019,0.08603009112535068,1.2872326110045382,0.7817267434841088,1.6297671042220705,0.6100206448900515,1.4148215497224674,0.542489929519289,0.46206157200806813,0.8903263734660637,0.45887782116668213,1.8572025695554841,1.4084730344036545,1.1532272208471488
Pteropus pumilus,Little golden-mantled flying fox,Chiroptera,46,200.0,17.3,0.7708060362340532,2.4491612104160794,1.7315354310661564,2.041536110346377,0.8445285193106792,1.5789371366828004,1.7911758805447164,1.648719741658005,0.30674065715026405,2.0759120261333774,1.28431475415655,0.3602454155980062,0.36869841352678256,0.5353712303381123,0.6517336435555742,0.29396311096396294,0.03838016176377062,1.0233164573222917,0.07897876504531737,0.9642100932378126,1.8223266520190038,1.2739369000439678,0.9471200737129959,1.3397274131931636,0.4423212547520562,0.21593306691744737,0.29713662786705364,1.0799620258058866,1.5564023586975642,1.5969648956855875,0.10596061526941644,0.31416174074060754,1.095895737141584,0.4381841212807821,0.4436340456514337,1.5790066863147316,0.7281780225487224,1.9509021327286076,0.30110563156052095,1.6850410663452877,1.343898568778759,0.8926686225993038,1.6499654074170633,0.2595761819634303,0.8194926959945282,0.46645832061223513,0.4706288423438144,1.8216395859581043,1.6554206086224,0.04717918060001042,0.439197416157488,1.600659900134186,1.7871892715559483,0.693859533935593
Pteropus rodricensis,Rodriguez flying fox,Chiroptera,19,350.0,28.0,0.6805311362923289,2.1736189367585528,2.4616080789475223,2.0759379065045254,2.4693321849041543,2.1210222922643953,2.0070405693801874,1.87425722042424,0.0789434524224646,0.6848346371199591,1.059493679626508,0.6438451534606898,0.3986173602590196,0.9035744866038694,0.6440888963742379,0.4159256756986232,0.3287973144818504,0.771013667131603,0.029418177147084158,1.036616717972458,1.5000506706510743,0.41458321612332283,1.0297183039783582,1.431501602443007,0.15289028088215748,0.5739252655577628,0.40152908481969174,1.9689337249165653,0.44737003758365834,1.987811199576577,0.5503595171320839,0.26101803389834577,1.4515594292074872,0.8990501032041366,0.2527799253272831,0.9883115775371878,0.6713097006349396,1.2391475126126161,0.5648418985058782,2.4609812553353563,1.4301914465094847,1.3713183313357813,0.044941739042363496,1.2447049024130659,0.9053127186734344,0.7508156564623435,0.1470369304946397,1.2492056548980461,0.049093633349131915,0.0040329389411371324,1.2294592001867768,1.4198495972634986,1.5255066353991933,0.5223407313293461
Pteropus vampyrus,Large flying fox,Chiroptera,51,872.0,24.0,0.9405054469622944,2.679423878307622,1.9827389774290929,2.484254131796017,2.1546671649648963,2.220099645090499,1.5454921464198756,1.207458398208596,0.3681891469410861,1.6680897126536258,1.2456433509220866,0.603318566831452,0.8835809292815283,0.001427437716924796,0.26592488891997396,0.08612501478444524,0.5056221998486585,0.7238448125249528,0.9948987381254837,0.7782164210899104,0.754634354977711,1.5748167763984315,1.3427614791477023,1.0113257636471817,0.6261855950604632,0.35192542752173694,0.4895609055526349,0.8118181603956653,0.9545635944206761,1.1059091780706718,0.3232685131557283,0.7598979683179596,1.0092703436789694,0.2407205127392417,0.6890614258220623,1.3834220063766414,1.6086319086084508,1.667832520900933,0.3850140120026733,1.2360914797853815,0.42534689710349854,0.7941650200816245,0.7896773546567634,1.450038302159203,1.0572006485807197,0.0566490041325677,0.8315018398964475,1.4049863260350564,1.1301637480358615,0.7008536152834012,0.5207064401306949,1.8231977510929573,0.369844179664117,0.9794359377471524
Rattus norvegicus,Brown rat,Rodentia,458,300.0,3.8,0.36794501168155386,2.407619218396669,1.9206019091198883,2.2227993558019747,1.4641185116792532,2.3561291631333066,1.8863911839780962,0.4798528268962955,0.4241191699266518,2.1638815187436777,1.6804482409312034,0.710249176352896,0.45571323574162664,0.6446365897756021,1.8785751905431518,0.9363475990967035,0.3980028867303743,0.7438404472736998,0.6191066625460272,0.39338463396488743,0.6504204910950302,2.0510252603468193,1.1910738696356737,1.0270381291026123,0.4527943348341725,1.4552370388422504,0.7078456963896819,0.45850256155879904,0.539526796608374,0.7161387193743566,0.47804826062397426,0.3679903456878779,1.8063015398444473,1.4227335637912306,0.4066616090733622,0.5305833432142207,0.4576140279435787,1.8142093860865494,1.067022533366817,0.7714444354567547,0.755056820360183,0.7487948940095847,0.6622966635309149,0.5238682825030387,1.2451234820802044,1.2880897379557943,0.8873394138110128,0.5244752871599958,0.9304156154732024,0.3441731460680321,1.3234824085407206,0.6400320811039681,0.5358776011683247,1.0650000910449051
Rhinolophus ferrumequinum,Greater horseshoe bat,Chiroptera,40,22.875,30.5,0.9948974632246002,1.6549698681761957,1.356477092185825,1.5360258920419159,0.6849542770722543,1.646720493140974,1.6906853086007487,1.5201619866176255,0.727670638838204,1.542419525741866,1.4040160739900294,0.6719768266808657,1.250654228211038,1.2137642681061596,0.6614303295376462,0.46834790370324153,0.7435482206128461,0.5462444414224712,0.35218375994780426,1.1606852828001353,1.5947539311160952,1.2097283146244193,0.12851731321944188,1.0338355709645117,0.9268143438304035,0.5621601319027063,0.7937647145437902,1.5715573386844983,1.4359711429977915,1.0700008888047599,0.6407598719840818,1.0903844314301228,0.9535172616593874,1.1958085901331486,0.7683524932658246,1.5017978448522158,1.1977282065142185,0.30284900604229514,0.708191874519141,1.6221521555583842,1.3210359839664345,1.5454853957434838,0.593443809883455,0.20209048979554484,0.49400172047428076,0.16183021067019415,0.44113380523963164,1.51554106270235,0.93134870293761,0.7959721471942538,0.47259008404968555,1.5450719926013534,1.59399736935539,0.24997791808665065
Rhynchonycteris naso,Proboscis bat,Chiroptera,22,3.9,8.5,0.3293047944591891,0.9393817339613062,1.1795623764947016,0.4696481170981206,0.3176122125416259,2.2506536187587733,2.158464242223885,0.020143921195893557,0.5433561508143446,1.8460633686861792,2.102582242025069,1.4106731618839652,0.7539492266651024,0.333069868238232,2.1779926642825376,1.515299438538466,0.3354154966154584,1.5654274151624683,1.55389402486025,0.6115444448062898,0.24373224207268612,1.7968048185814707,0.07559633561444092,1.6834733297562716,0.46106003050578404,0.8899517429600171,1.4652908815085721,0.029985488506830058,0.6206087766963414,1.50891662034322,0.38607576662738424,0.6635570943154742,2.0959185512984333,2.844371675864701,0.8363118679813689,0.20090284274255846,0.28412624126920183,0.17226452451908061,0.7820593382270478,0.6084492617682657,0.11829219707302131,0.6831487080620663,2.6729671184555617,1.2631063432884113,0.9866261273418657,0.8140526190627945,2.0626354614709563,0.6884332703049735,1.5381895635834477,0.6349857493640895,0.16055866346523143,0.3394387588699378,0.12391032882188634,1.8501591403647693
Rousettus aegyptiacus,Egyptian fruit bat,Chiroptera,16,125.0,22.9,0.4260599940900721,1.8514334717774077,1.097760968013076,1.058962839190304,1.0489564381323508,1.7032352159825057,0.24496299111319222,1.0366053540274647,0.652049982941507,1.8282438609228067,1.3659323311495777,0.8416262198600043,0.6258909022046044,0.12815383911385317,1.5365617516077488,0.5166726308333284,0.7918873518436992,1.3287491796961728,1.326607324841667,0.1130702027618098,0.589397187775589,1.3134255600541833,0.28127228724554254,1.5488042684218841,0.14689350832121098,0.4589542705254639,1.1296401534526814,1.5876265791935997,1.8100124597179241,0.4780064369356945,0.4281347797623144,0.5863164122702529,1.7696041675618412,0.6576557882176577,0.054942609471821904,1.5572422756931996,0.8163196625961612,0.4649642312929728,0.7529592600143726,1.74555050509477,1.167894384019384,0.6835294756528641,0.9855106602577253,1.767805737896411,0.42764918483181,1.610207897074344,0.46614323901893784,2.0491201379780963,0.7776488781998008,1.2905165284652225,0.36745755961181387,2.0639324000123804,1.6743587037020773,0.9670799595568278
Saccopteryx bilineata,Greater sac-winged bat,Chiroptera,29,7.9,11.0,0.7679877733635484,1.3489113399703456,1.016325907759059,0.803023349372662,0.8824624471032348,0.5301904125140341,1.8069105820107632,0.8372638268254778,0.03279239940583881,0.9942228078154101,1.8355633923156744,0.1091272825790843,0.22925103454215218,0.8012692086665056,0.7791566473547249,1.6445337879579593,0.6290985240643711,0.5875872791995689,1.1155338431164656,0.1453846732471638,1.2463828309407778,1.7071313984162,0.43606772198422133,1.9837738990263436,0.2121807639048246,0.48444799647566145,1.6067574926170574,1.6026385215096375,1.2766073814359487,0.5455335520167003,0.4709216916520025,0.32680426137616636,1.8184842635774325,1.56026939248016,0.5472775975423319,1.1342717047049813,0.9859685926582874,1.1982425269848846,1.3011529117993883,1.6680267010261915,1.515942920964068,0.9575078198721644,1.484521770852362,1.4492274695699037,0.575626865165048,0.2250751730452392,1.8213275612450683,0.5860837540226441,1.7017388233046407,0.589709290727664,0.28006728678504467,1.394586663530586,0.39581809977844257,2.013228779823876
Sarcophilus harrisii,Tasmanian devil,Dasyuromorphia,41,8202.25,13.0,0.5491269980342809,0.8709130505329856,0.4963632762171993,0.4459317360203504,1.390676215694848,0.17924509094604754,0.7709583975899107,2.1533037561566064,0.6972854900273182,0.214989684304624,0.034116886086480114,0.8077695264173219,0.8649055248259203,1.7122904750755574,1.3087844808401876,0.9251562745030805,0.621561486778616,0.22998671144227467,0.027024470334442014,1.3945767398274025,1.0921104389657923,0.05409509404386787,0.8111923052202945,1.710987292650468,1.229071684565328,0.15790471176807525,0.2618053128479855,2.0784184089074884,2.126860631868678,1.909674917648095,0.9595156049150092,0.6640049515197446,0.5551568560195641,0.06979154256973485,1.3061973127261333,2.018945153360881,1.77797120917178,0.2116593851951879,1.394262185553095,1.8710707399776327,1.7958294823834333,1.8783740792099042,0.533747487396255,0.30198441992495095,0.49422980675739303,1.35600830884066,1.0546868793652167,0.694178942299341,0.9358152077215305,0.7232797956773499,0.6500642336225192,2.25202619369204,2.211859636302733,1.1622535156563922
Sorex cinereus,Cinereus shrew,Eulipotyphla,44,4.3,1.9,0.5809996073634267,1.5604048374714283,1.4020321906031,1.1321334742824702,0.9695700714850042,1.3907093304036093,0.8773324779144039,1.1363714476050866,0.6435875866933807,1.8394543299726562,1.648855764410912,0.06768274497303751,0.19234071294094032,1.2906045567030144,1.648353445228563,1.2409188779647662,0.6203040935289874,0.9128054494635817,1.4419253161886758,0.7706580971090724,0.7006463629195688,1.1155362035146468,1.304834102174341,1.1989388207962124,0.19956456928130806,1.3348071512265016,1.018481124477656,1.066268550337651,1.2133260622783948,1.1531757055133622,0.5539671954569986,0.24249692178083368,0.6525133515582618,1.2363116419811,1.2880738434528471,0.8260986196763291,0.5330659363114705,1.010802762766158,1.1754882284561423,1.0678140048433102,1.2797004583903353,1.3667237275807382,0.36143742024289777,1.3932390859962724,1.6339405539370164,1.1226074141118056,0.9256567321166259,0.8582131181581715,1.600536890754153,0.7322654108434666,0.8539593588107709,0.20118625283642888,1.0327414546726428,0.3785365504394617
Steno bredanensis,Rough-toothed dolphin,Artiodactyla,12,114000.0,32.0,1.6673195556536857,1.3273856513266657,0.8543760231566337,0.9281381348713046,0.8877532860838909,0.7604008412843791,0.8810333353018289,1.434355053134592,1.2816830796216805,1.3159606222740077,1.1501415021027777,1.672090347386533,1.0129665449846461,1.758765774160534,0.898670818307897,1.074209150088059,1.0698746766420684,0.4306620804852905,0.2382952674399472,0.9710087085157086,0.936727026892608,0.8751422009766419,0.5211752783625707,1.6848983884751025,0.7542139949275031,0.4385084895135915,0.5291402699954219,1.3232309862450113,1.6188147956527177,1.1481626875456612,1.0818446613690655,0.5169838925826934,1.4335088029519596,0.16598078385924306,1.9910747530778572,1.2001232916861173,0.8246045194719582,0.9481557759414693,0.6021618693835323,0.5253989347387756,0.3476419766586934,0.05000390657393553,0.6100304395510193,1.1899429238868968,1.4319755775222536,0.3109873624649182,1.7221961865298165,0.8955750084794234,1.5927071777296407,0.9430804456170927,0.9971355325393864,1.2604242708468536,0.19907340515089378,1.7142839299775394
Sus scrofa domesticus,Pig,Artiodactyla,176,350000.0,23.0,0.7549193857024512,1.687636426816097,1.6079811594278761,1.613692513203005,1.3178497163372302,1.6737029664079892,1.2521685992728502,1.1573925750581489,0.7588260064215838,1.5235713025354871,1.3275850003244514,0.6547739548488148,0.6573965810422017,1.125995049003305,1.4972499790898686,0.8372152748229837,0.6349624381043111,0.49720652567481755,0.17324269133122752,0.900981018725394,0.7520182247828644,1.3642562838772276,0.7353918061301805,1.1170630711912137,0.9656777840529394,0.6266075552405842,0.21966982704321855,1.1039720572621097,1.0456608810177603,1.2316949393319943,0.6281207494880732,0.9653077424293038,1.0351803345319395,1.3058206064641806,0.9262760221924349,1.0803693663537859,1.1716359582544804,1.4223960962335134,0.5641258259325697,0.9982517982451982,0.9692152791894344,0.8927737521898202,1.0188062087092844,0.3008204390585895,1.0632778285437126,0.630555259691921,1.0769311683198712,0.8080394377214829,1.1855313827490659,0.7056873118049473,1.208395786855822,1.2160474853343375,1.0127445865915887,0.9973279790344478
Sus scrofa minusculus,Winsconsin miniature pig,Artiodactyla,60,100000.0,23.0,0.3975323163691658,2.482980960104948,2.2993342760584676,2.3054828563790677,1.97224838583707,2.5170658495375346,2.305245224580705,0.7068526160159178,0.026130247567839614,2.243845544998171,2.1471850202476985,0.5909919189291397,0.22211368224589303,0.38400587581034085,2.0698686404040045,0.5899000727866367,0.1713351802412849,0.18823566301564457,0.42992388574518525,0.1526785137992812,0.1373251671598303,2.1237873563498226,1.0438210108694896,1.0228155968900154,0.38014289704359766,0.6250708309093681,1.3767802328284247,0.6558265617513218,0.488515261591095,0.3724394748797279,0.3808366931686044,0.09954634144925649,2.5996934968849006,2.253839219357544,0.05850201684555456,0.4868304161126861,0.6585426011123414,2.090577998686802,0.6524492773547418,0.16169363464048797,0.09317908231098984,0.14034735958724612,2.1437782840554096,1.6794997818683812,1.7139601757426102,0.5255318583626765,0.3551310046158536,0.25145682916736134,0.06750130781435391,0.29376922078847667,2.4073738458609055,1.1146225630072095,0.22286573896943343,1.1189901312894739
Tachyglossus aculeatus,Short-beaked echidna,Monotremata,5,3500.0,49.5,1.195168962379411,1.4933756914780025,0.9085256651281577,1.5814545794601285,1.5316721546043874,0.8963532213055252,0.4492650530238337,1.354540932908896,1.455395205130347,0.9471944649359504,0.9660391969383291,0.5112061204555475,0.8381480597763062,1.226327227697324,1.3880851640189185,0.6584244475456265,1.4896253573744267,1.176463158527062,0.3680945015609198,0.12910226461398233,0.6643854311866693,1.1068423036600281,0.2265217257935722,1.4616561204665848,1.4423246326009853,0.15747981383783102,0.04311345293490551,1.3231695030878798,1.4344917775435648,1.3112827194979666,1.4342326143845283,1.489535034690817,0.3790831481947036,0.8454537534079598,1.490370773183267,1.3077128245266039,1.5380776076828415,1.3728273867476708,0.04581191425882859,1.1359540990047448,1.0739533389126419,0.30935415193946614,1.5508351402199714,0.1096805365587759,0.6373209142563758,0.8005104844992779,1.5324386146333289,0.43783399930270717,1.5342348802961872,1.4710346244065122,0.13857927464259262,1.3629967744256772,0.77595545163141,1.4904837487200318
