SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,young_0.1,young_0.2,young_0.3,young_0.4,young_0.5,young_0.6,young_0.7,young_0.8,young_0.9,young_1.0,old_1.0,old_1.5,old_2.0
Delphinapterus leucas,Beluga whale,Blood,4.19.1,Artiodactyla,1430000.0,1.279452055,11.00753425,50.0,0.001,0.9788,67,0.517535528,0.247197674,0.178543999,0.131500781,0.1215085,0.103597659,0.07496221,0.069721961,0.064412869,0.061640512,0.060962949,0.059586179,0.061762089
Delphinapterus leucas,Beluga whale,Skin,4.19.1,Artiodactyla,1430000.0,1.279452055,11.00753425,50.0,-0.02,0.984164384,118,-0.228218282,-0.101079755,-0.035602271,-0.012140325,0.006482704,0.017115545,0.020187993,0.017866892,0.034226709,0.032387256,0.044008408,0.045793419,0.045489115
Desmodus rotundus,Common vampire bat,Skin,8.4.3,Chiroptera,33.2,0.517808219,0.780821918,29.9,0.010033445,0.578595318,44,0.643204168,0.280860302,0.236637588,0.171064412,0.146437092,0.141741604,0.141741604,0.141741604,0.141741604,0.141741604,0.141925364,0.144575228,0.142123744
Diceros bicornis,Eastern black rhinoceros,Blood,6.2.2,Perissodactyla,1100000.0,1.298630137,5.589041096,49.0,0.196119516,0.632040816,5,,,,,,,0.032391816,0.032391816,0.032391816,0.032391816,0.032391816,0.032391816,0.125766828
Eidolon helvum,Straw-colored fruit bat,Skin,8.5.2,Chiroptera,306.25,0.753424658,1.75000274,21.8,0.155963303,0.756880734,24,,1.489317524,0.003583007,0.471524144,0.304726389,0.255345985,0.240799081,0.197940974,0.197940974,0.197940974,0.197940974,0.197940974,0.214254901
Elephas maximus,Asian elephant,Blood,2.1.1,Proboscidea,3178000.0,1.764383562,9.005479452,88.0,0.026805729,0.83620797,83,0.184228943,0.1621941,0.081185272,0.075643582,0.050680111,0.040564971,0.039201691,0.037211706,0.035907441,0.035907441,0.035350676,0.031454865,0.029674536
Eptesicus fuscus,Big brown bat,Muscle,8.7.2,Chiroptera,23.0,0.164383562,1.749315068,23.0,0.013043478,0.147826087,6,0.201761181,-0.025893646,-0.025893646,-0.025893646,-0.025893646,-0.025893646,-0.025893646,-0.025893646,-0.025893646,-0.025893646,,,
Eptesicus fuscus,Big brown bat,Skin,8.7.2,Chiroptera,23.0,0.164383562,1.749315068,23.0,0.013043478,0.795652174,70,0.510814783,0.294244841,0.244823857,0.224665234,0.186982715,0.186982715,0.180111954,0.170931712,0.170931712,0.170931712,0.157082683,0.151576276,0.148245848
Equus africanus somaliensis,Somali wild ass,Blood,6.1.4,Perissodactyla,250000.0,1.006849315,1.75,47.0,0.050562861,0.213435857,7,,0.292747713,0.287125141,0.287125141,0.287125141,0.287125141,0.287125141,0.287125141,0.287125141,0.287125141,0.474577787,0.404585516,
Equus caballus,Horse,Blood,6.1.1,Perissodactyla,300000.0,0.923287671,2.584931507,57.0,8.77e-05,0.49122807,210,0.4159751,0.214556723,0.144365352,0.121314331,0.103974226,0.103974226,0.103974226,0.103974226,0.103974226,0.103974226,0.085528992,0.078584912,0.070376589
Equus caballus,Horse,Liver,6.1.1,Perissodactyla,300000.0,0.923287671,2.584931507,57.0,0.000730994,0.50877193,48,0.41126962,0.248796701,0.189822416,0.189822416,0.127863218,0.104005292,0.104005292,0.104005292,0.104005292,0.104005292,0.049154434,-0.000865409,-0.041552215
Equus quagga,Zebra,Blood,6.1.3,Perissodactyla,280000.0,1.0,2.465753425,38.0,0.004109589,0.531795242,76,0.567828997,0.282870516,0.235050874,0.201367007,0.149384476,0.144136814,0.144136814,0.144136814,0.144136814,0.144136814,0.105214341,0.063204865,0.033898472
Equus quagga,Zebra,Skin,6.1.3,Perissodactyla,280000.0,1.0,2.465753425,38.0,0.004253684,0.651838421,20,0.599529128,0.165001702,0.251827964,0.182338348,0.182338348,0.182338348,0.138370488,0.138370488,0.138370488,0.138370488,0.128607099,0.118959084,0.059484895
Eulemur albifrons,White-headed lemur,Blood&Skin,1.3.1,Primates,2231.59,0.328767123,2.657534247,34.59,0.568083261,1.0,3,,,,,,,,,,0.086405042,0.086405042,0.086405042,0.086405042
Eulemur collaris,Collared brown lemur,Blood,1.3.7,Primates,2333.61,0.336986301,2.073972599,37.0,0.022702703,0.914324324,3,,,,,,,,,,0.059536952,,,
Eulemur collaris,Collared brown lemur,Blood&Skin,1.3.7,Primates,2333.61,0.336986301,2.073972599,37.0,0.022702703,0.914324324,4,,,,,,,,,,0.060825042,0.082331823,0.082331823,0.082331823
Eulemur coronatus,Crowned lemur,Blood&Skin,1.3.2,Primates,1645.0,0.345205479,1.665753425,30.0,0.032666667,0.636666667,3,,,,,,,0.087036205,0.087036205,0.087036205,0.087036205,,,
Eulemur flavifrons,Blue-eyed black lemur,Blood,1.3.8,Primates,2433.0,0.347945205,2.1,32.0,0.01,0.85625,3,,,,,,,,,0.073549648,0.073549648,,,
Eulemur flavifrons,Blue-eyed black lemur,Blood&Skin,1.3.8,Primates,2433.0,0.347945205,2.1,32.0,0.01,0.85625,4,,,,,,,0.095586847,0.095586847,0.085024218,0.085024218,0.136018213,0.136018213,0.136018213
Eulemur macaco,Black lemur,Blood,1.3.4,Primates,2467.0,0.328767123,1.104109589,37.5,0.253866667,0.919466667,3,,,,,,,,,,0.071577397,0.071577397,0.071577397,0.071577397
Eulemur macaco,Black lemur,Blood&Skin,1.3.4,Primates,2467.0,0.328767123,1.104109589,37.5,0.253866667,0.919466667,4,,,,,,,,,,0.064793235,0.064793235,0.064793235,0.064793235
Eulemur mongoz,Mongoose lemur,Blood,1.3.5,Primates,1555.0,0.328767123,2.349315068,36.2,0.022651934,0.85,3,,,,,,,,,0.053392446,0.053392446,,,
Eulemur mongoz,Mongoose lemur,Blood&Skin,1.3.5,Primates,1555.0,0.328767123,2.349315068,36.2,0.022651934,0.85,4,,,,,,,,,0.057632197,0.057632197,0.049255445,0.049255445,0.049255445
Eulemur rubriventer,Red-bellied lemur,Blood,1.3.6,Primates,2191.5,0.328767123,2.734246575,34.0,0.231470588,0.995294118,3,,,,,,,,,,0.06863377,0.06863377,0.06863377,0.06863377
Eulemur rubriventer,Red-bellied lemur,Blood&Skin,1.3.6,Primates,2191.5,0.328767123,2.734246575,34.0,0.231470588,0.995294118,4,,,,,,,,,,0.05778036,0.05778036,0.05778036,0.05778036
Eulemur sanfordi,Sanford's brown lemur,Blood,1.3.10,Primates,2111.34,0.328767123,1.819178082,32.94,0.286581664,1.0,3,,,,,,,,,,0.080165374,0.080165374,0.080165374,0.080165374
Eulemur sanfordi,Sanford's brown lemur,Blood&Skin,1.3.10,Primates,2111.34,0.328767123,1.819178082,32.94,0.286581664,1.0,4,,,,,,,,,,0.079938133,0.079938133,0.079938133,0.079938133
Felis catus,Domestic cat,Blood,5.2.2,Carnivora,3900.0,0.178082192,0.791780822,30.0,0.007032349,0.697222333,128,0.809139187,0.349813991,0.232287595,0.193316068,0.156033684,0.130946341,0.123134672,0.123134672,0.123134672,0.123134672,0.102848434,0.100722911,0.092488703
Globicephala macrorhynchus,Short-finned pilot whale,Blood,4.13.3,Artiodactyla,2200000.0,1.238356164,12.05753425,63.0,0.11968254,0.30031746,9,,0.219468985,0.219468985,0.05378267,0.05378267,0.05378267,0.05378267,0.05378267,0.05378267,0.05378267,0.05378267,-0.260695453,
Gorilla gorilla,Western lowland gorilla,Blood,1.1.2,Primates,139842.0,0.701369863,9.375342466,60.1,0.078855569,0.78985025,6,,,0.123844881,0.123844881,0.123844881,0.05228192,0.05228192,0.05384439,0.05384439,0.05384439,0.055073707,0.055073707,0.055073707
Hapalemur griseus,Bamboo lemur,Blood,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,3,,,,,,,,,,0.080780348,0.080780348,0.080780348,0.080780348
Hapalemur griseus,Bamboo lemur,Blood&Skin,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,4,,,,,,,,,,0.086978704,0.086978704,0.086978704,0.086978704
Heterocephalus glaber,Naked mole rat,Blood,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,94,0.419153851,0.433895525,0.247582403,0.232753611,0.232753611,0.211223989,0.189119262,0.152816943,0.152816943,0.152816943,0.139674488,0.135864578,0.13822632
Heterocephalus glaber,Naked mole rat,Cortex,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,15,0.33439086,0.015984774,-0.038965969,-0.038965969,-0.038965969,-0.038965969,-0.038965969,-0.038965969,-0.038965969,-0.038965969,0.060049208,,
Heterocephalus glaber,Naked mole rat,Heart,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.287449093,21,0.347426774,0.267677281,0.166005187,0.166005187,0.166005187,0.166005187,0.166005187,0.166005187,0.166005187,0.166005187,0.144977702,,
Heterocephalus glaber,Naked mole rat,Kidney,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.621621622,33,0.5691597,0.353175404,0.165743714,0.165743714,0.074358672,0.051557354,0.043600403,0.043600403,0.043600403,0.043600403,0.045488892,0.040069773,0.040069773
Heterocephalus glaber,Naked mole rat,Liver,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,70,0.348215809,0.330434875,0.177443417,0.177443417,0.149087562,0.134257544,0.126080132,0.121282082,0.121282082,0.121282082,0.112595015,0.125379688,0.135435408
Heterocephalus glaber,Naked mole rat,Lung,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,19,0.365765436,0.421568683,0.25251729,0.25251729,0.25251729,0.25251729,0.25251729,0.25251729,0.25251729,0.25251729,0.124570336,,
Heterocephalus glaber,Naked mole rat,Muscle,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,21,0.370920706,0.271736389,0.164690117,0.164690117,0.164690117,0.164690117,0.164690117,0.164690117,0.164690117,0.164690117,0.134955102,0.320398528,0.320398528
Heterocephalus glaber,Naked mole rat,Skin,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.0,0.675675676,107,0.648728632,0.363864221,0.254602839,0.234687996,0.224893174,0.224893174,0.183895463,0.183895463,0.183895463,0.183895463,0.153893489,0.149106255,0.133994637
Hippotragus equinus,Roan antelope,Blood,4.1.9,Artiodactyla,225000.0,0.778082192,2.115068493,25.9,0.000528543,0.372411132,6,2.139470652,2.139470652,0.295944273,0.2065685,0.2065685,0.2065685,0.2065685,0.2065685,0.2065685,0.2065685,,,
Hippotragus niger,Sable antelope,Blood,4.1.10,Artiodactyla,225000.0,0.742465753,2.673972603,22.2,0.000123327,0.527027027,5,1.118089357,1.118089357,1.118089357,0.206570814,0.206570814,0.155615164,0.155615164,0.155615164,0.155615164,0.155615164,,,
Homo sapiens,Human,Adipose,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,,,,0.13248955,0.029855855,0.012226706,0.00622799,0.00622799,0.00622799,0.00622799,0.00622799,0.00622799,0.00622799
Homo sapiens,Human,Blood,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.09322449,0.75137825,584,2.627737652,0.31599357,-0.060693087,-0.007224659,0.022606522,0.018699516,0.015338491,0.015050346,0.015050346,0.015050346,0.015200382,0.023333605,0.023333605
Homo sapiens,Human,BoneMarrow,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.603265306,20,,,,0.086061486,0.000258939,-0.014384331,-0.009585835,-0.009585835,-0.009585835,-0.009585835,-0.009585835,-0.009585835,-0.009585835
Homo sapiens,Human,Cerebellum,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,,,,,0.066725961,0.031441075,0.031560863,0.027891841,0.017367624,0.017367624,0.017367624,0.017367624,0.017367624
Homo sapiens,Human,Cortex,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,,,,,-0.089565699,0.034741393,0.028855476,0.036718181,0.028353283,0.028353283,0.028353283,0.028353283,0.028353283
Homo sapiens,Human,Heart,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,,,,0.080379577,0.026107205,0.002998152,0.008261291,0.007063334,0.007063334,0.007063334,0.007063334,0.007063334,0.007063334
Homo sapiens,Human,Kidney,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,,,,0.086286228,0.046200491,0.021559611,0.019152364,0.018566207,0.018566207,0.018566207,0.018566207,0.018566207,0.018566207
Homo sapiens,Human,Liver,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,,,,0.028770634,0.04751926,0.025127131,0.022822672,0.020708315,0.020708315,0.020708315,0.020708315,0.020708315,0.020708315
Homo sapiens,Human,Lung,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.696326531,113,,,0.998474605,0.012984628,0.022032844,0.003193905,0.002669662,0.002669662,0.002669662,0.002669662,0.002669662,0.002669662,0.002669662
Homo sapiens,Human,LymphNode,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.633469388,27,,,,0.24478364,0.024372754,-0.015047636,-0.023668953,-0.023668953,-0.023668953,-0.023668953,-0.023668953,-0.023668953,-0.023668953
Homo sapiens,Human,Muscle,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,,,,0.039956428,0.020977031,0.0098384,0.015576164,0.015576164,0.015576164,0.015576164,0.015576164,0.015576164,0.015576164
Homo sapiens,Human,Skin,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.0,0.759183673,74,-0.085350765,-0.085350765,0.01241759,0.034729726,0.030406938,0.022172541,0.022316046,0.021829182,0.021829182,0.021829182,0.023993696,0.023993696,0.023993696
Indriidae,Indriidae,Blood,1.2,Primates,4287.85125,0.403928082,3.835969178,26.47125,0.003866478,1.102719423,8,,,,0.156111621,0.139598616,0.100328325,0.100328325,0.100328325,0.079290083,0.072733867,0.061609973,0.026531482,0.026531482
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Blood,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.970487805,17,-0.111041164,0.249517858,0.136579255,0.148397039,0.11005595,0.11005595,0.11005595,0.07691217,0.073094527,0.064349702,0.066510744,0.073042618,0.072421576
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Skin,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.985232209,17,0.553563959,-0.084700542,-0.116927492,0.118546367,0.041331741,0.041331741,0.041331741,0.027617885,0.018127689,0.025625286,0.023742578,0.018624404,0.004631936
Lemur catta,Ring-tailed lemur,Blood,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,3,,,,,,,,,0.05544523,0.05544523,,,
Lemur catta,Ring-tailed lemur,Blood&Skin,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,4,,,,0.124266081,0.124266081,0.124266081,0.124266081,0.124266081,0.057371233,0.057371233,,,
Lemuridae,Lemuridae,Blood,1.3,Primates,2328.465385,0.330593607,2.014365999,34.63358974,0.001748487,1.147881641,39,2.259906021,0.463256948,0.146755573,0.134768214,0.134383759,0.128209203,0.128209203,0.093007605,0.068297068,0.059527833,0.049223029,0.049223029,0.051627837
Lemuridae,Lemuridae,Skin,1.3,Primates,2315.703077,0.330874605,2.048050579,34.68692308,0.001741528,1.003991002,13,0.676740119,0.676740119,0.676740119,0.676740119,0.676740119,0.089549217,0.089549217,0.075418192,0.062387917,0.060090996,0.080367477,0.080367477,0.080367477
Leptonycteris yerbabuenae,Lesser long-nosed bat,Skin,8.4.4,Chiroptera,25.0,0.410958904,1.0,10.1,0.01980198,0.495049505,11,,0.936164379,0.936164379,0.936164379,0.487978387,0.487978387,0.487978387,0.487978387,0.487978387,0.487978387,0.561515953,0.561515953,
Litocranius walleri,Gerenuk,Blood,4.1.12,Artiodactyla,43500.0,0.55890411,0.983561644,17.3,0.052224899,0.427452889,7,,1.124120297,0.404135368,0.404135368,0.370825673,0.370825673,0.370825673,0.370825673,0.370825673,0.370825673,0.351007783,,
Lorisidae,Lorisidae,Blood,1.5,Primates,599.4428571,0.499412916,1.132876712,23.65714286,0.028056112,0.888977956,7,,,,,0.223527758,0.16482304,0.16482304,0.16482304,0.092883703,0.10370595,0.108836635,0.108836635,0.108836635
Lorisidae,Lorisidae,Skin,1.5,Primates,515.9,0.494977169,1.117351598,22.46666667,0.431750742,0.860385757,3,,,,,,,,,0.167784455,0.167784455,0.167784455,0.167784455,0.167784455
Loxodonta africana,Savanna elephant,Blood,2.1.2,Proboscidea,4800000.0,1.835616438,10.50410959,65.0,0.018503688,0.745500527,57,0.463404481,0.228024304,0.161099284,0.153245132,0.076558821,0.061730842,0.059474553,0.057913729,0.057913729,0.057913729,0.058015651,0.061613947,0.067123795
Macaca mulatta,Rhesus macaque,Adipose,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.558809524,1.0,5,,,,,,,,0.043610262,0.043610262,0.101335603,0.101335603,0.101335603,0.101335603
Macaca mulatta,Rhesus macaque,Blood,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.042619048,1.0,199,0.689026167,0.152884972,0.194110548,0.081144525,0.083797877,0.078084859,0.067871979,0.051791571,0.049886816,0.044325866,0.03766838,0.03766838,0.0201498
Macaca mulatta,Rhesus macaque,Cortex,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,,,,,,,0.011505991,0.064454422,0.064454422,0.067475442,0.067475442,0.067475442,0.067475442
Macaca mulatta,Rhesus macaque,Liver,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,,,,,,0.269813323,0.213718912,0.213718912,0.213718912,0.091559483,0.091559483,0.091559483,0.091559483
Macaca mulatta,Rhesus macaque,Lung,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,,,,,,,0.108871443,0.093148524,0.093148524,0.093538954,0.093538954,0.093538954,0.093538954
Macaca mulatta,Rhesus macaque,Muscle,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,,,,,,,,0.074883704,0.074883704,0.087692945,0.087692945,0.087692945,0.087692945
Macaca mulatta,Rhesus macaque,Skin,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.181190476,1.0,51,,,0.00564118,0.207970719,0.143869723,0.141057421,0.130644152,0.123352436,0.123352436,0.107861958,0.107861958,0.107861958,0.113213162
