SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,state,arocm,state_base,direction
Gorilla gorilla,Western lowland gorilla,Blood,1.1.2,Primates,139842.0,0.701369863,9.375342466,60.1,0.078855569,0.78985025,6,EnhWk8-,-0.056964295,EnhWk8,hypo
Hapalemur griseus,Bamboo lemur,Blood,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,3,EnhWk8-,-0.071725021,EnhWk8,hypo
Hapalemur griseus,Bamboo lemur,Blood&Skin,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,4,EnhWk8-,-0.083126027,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Blood,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,94,EnhWk8-,-0.053222366,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Cortex,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,15,EnhWk8-,-0.058858141,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Heart,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.287449093,21,EnhWk8-,0.069801135,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Kidney,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.621621622,33,EnhWk8-,0.040347779,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Liver,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,70,EnhWk8-,-0.06682662,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Lung,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,19,EnhWk8-,0.033881002,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Muscle,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,21,EnhWk8-,-0.216411255,EnhWk8,hypo
Heterocephalus glaber,Naked mole rat,Skin,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.0,0.675675676,107,EnhWk8-,-0.053338504,EnhWk8,hypo
Hippotragus equinus,Roan antelope,Blood,4.1.9,Artiodactyla,225000.0,0.778082192,2.115068493,25.9,0.000528543,0.372411132,6,EnhWk8-,0.027200682,EnhWk8,hypo
Hippotragus niger,Sable antelope,Blood,4.1.10,Artiodactyla,225000.0,0.742465753,2.673972603,22.2,0.000123327,0.527027027,5,EnhWk8-,-0.139266919,EnhWk8,hypo
Homo sapiens,Human,Adipose,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,EnhWk8-,0.012210507,EnhWk8,hypo
Homo sapiens,Human,Blood,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.09322449,0.75137825,584,EnhWk8-,-0.005322852,EnhWk8,hypo
Homo sapiens,Human,BoneMarrow,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.603265306,20,EnhWk8-,-0.003301465,EnhWk8,hypo
Homo sapiens,Human,Cerebellum,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,EnhWk8-,0.017437082,EnhWk8,hypo
Homo sapiens,Human,Cortex,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,EnhWk8-,0.014713139,EnhWk8,hypo
Homo sapiens,Human,Heart,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,EnhWk8-,-0.005330364,EnhWk8,hypo
Homo sapiens,Human,Kidney,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,EnhWk8-,0.00690653,EnhWk8,hypo
Homo sapiens,Human,Liver,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,EnhWk8-,0.021973108,EnhWk8,hypo
Homo sapiens,Human,Lung,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.696326531,113,EnhWk8-,-0.003500708,EnhWk8,hypo
Homo sapiens,Human,LymphNode,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.633469388,27,EnhWk8-,0.024247894,EnhWk8,hypo
Homo sapiens,Human,Muscle,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,EnhWk8-,-0.010937308,EnhWk8,hypo
Homo sapiens,Human,Skin,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.0,0.759183673,74,EnhWk8-,0.000696798,EnhWk8,hypo
Indriidae,Indriidae,Blood,1.2,Primates,4287.85125,0.403928082,3.835969178,26.47125,0.003866478,1.102719423,8,EnhWk8-,-0.08307471,EnhWk8,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Blood,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.970487805,17,EnhWk8-,-0.054887009,EnhWk8,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Skin,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.985232209,17,EnhWk8-,-0.051129837,EnhWk8,hypo
Lemur catta,Ring-tailed lemur,Blood,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,3,EnhWk8-,0.027090703,EnhWk8,hypo
Lemur catta,Ring-tailed lemur,Blood&Skin,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,4,EnhWk8-,0.030266662,EnhWk8,hypo
Lemuridae,Lemuridae,Blood,1.3,Primates,2328.465385,0.330593607,2.014365999,34.63358974,0.001748487,1.147881641,39,EnhWk8-,-0.041476265,EnhWk8,hypo
Lemuridae,Lemuridae,Skin,1.3,Primates,2315.703077,0.330874605,2.048050579,34.68692308,0.001741528,1.003991002,13,EnhWk8-,-0.04284715,EnhWk8,hypo
Leptonycteris yerbabuenae,Lesser long-nosed bat,Skin,8.4.4,Chiroptera,25.0,0.410958904,1.0,10.1,0.01980198,0.495049505,11,EnhWk8-,-0.431229365,EnhWk8,hypo
Litocranius walleri,Gerenuk,Blood,4.1.12,Artiodactyla,43500.0,0.55890411,0.983561644,17.3,0.052224899,0.427452889,7,EnhWk8-,-0.202653472,EnhWk8,hypo
Lorisidae,Lorisidae,Blood,1.5,Primates,599.4428571,0.499412916,1.132876712,23.65714286,0.028056112,0.888977956,7,EnhWk8-,-0.036443168,EnhWk8,hypo
Lorisidae,Lorisidae,Skin,1.5,Primates,515.9,0.494977169,1.117351598,22.46666667,0.431750742,0.860385757,3,EnhWk8-,-0.192702415,EnhWk8,hypo
Loxodonta africana,Savanna elephant,Blood,2.1.2,Proboscidea,4800000.0,1.835616438,10.50410959,65.0,0.018503688,0.745500527,57,EnhWk8-,-0.030596021,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Adipose,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.558809524,1.0,5,EnhWk8-,-0.064830452,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Blood,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.042619048,1.0,199,EnhWk8-,-0.056894635,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Cortex,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,EnhWk8-,0.040093287,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Liver,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,EnhWk8-,-0.037210949,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Lung,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,EnhWk8-,0.067700823,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Muscle,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,EnhWk8-,0.035816039,EnhWk8,hypo
Macaca mulatta,Rhesus macaque,Skin,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.181190476,1.0,51,EnhWk8-,0.053505105,EnhWk8,hypo
Macropus fuliginosus,Western grey kangaroo,Blood,11.1.3,Diprotodontia,28250.0,0.082191781,2.123287671,23.2,0.071799717,0.217052433,5,EnhWk8-,-0.243995272,EnhWk8,hypo
Macropus giganteus,Eastern grey kangaroo,Blood,11.1.4,Diprotodontia,49500.0,0.098630137,2.642465753,25.0,0.0728,0.532,12,EnhWk8-,-0.146977975,EnhWk8,hypo
Macropus rufogriseus,Red-necked wallaby,Blood,11.1.6,Diprotodontia,16200.0,0.079452055,1.373972603,15.2,0.132894737,0.634868421,5,EnhWk8-,-0.281550337,EnhWk8,hypo
Macropus rufus,Red kangaroo,Blood,11.1.7,Diprotodontia,55000.0,0.090410959,1.812328767,25.0,0.0248,0.4692,37,EnhWk8-,-0.18794388,EnhWk8,hypo
Marmota flaviventris,Yellow-bellied marmot,Blood,9.13.1,Rodentia,3500.0,0.082191781,2.0,21.2,0.000471698,0.567924528,153,EnhWk8-,-0.145805405,EnhWk8,hypo
Megaptera novaeangliae,Humpback whale,Skin,4.12.3,Artiodactyla,30000000.0,0.936986301,7.96,95.0,0.004210526,0.46,91,EnhWk8-,-0.036678407,EnhWk8,hypo
Microtus ochrogaster,Prairie vole,Brain,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,EnhWk8-,1.6305978,EnhWk8,hypo
Microtus ochrogaster,Prairie vole,Liver,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,EnhWk8-,0.147253821,EnhWk8,hypo
Microtus ochrogaster,Prairie vole,Skin,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,EnhWk8-,0.455530885,EnhWk8,hypo
Mirza zaza,Northern giant mouse lemur,Blood&Skin,1.6.3,Primates,302.0,0.245205479,1.1,20.0,0.6425,0.903,3,EnhWk8-,-0.270852432,EnhWk8,hypo
Molossus molossus,Pallas's mastiff bat,Skin,8.8.2,Chiroptera,14.0,0.295890411,1.166667123,6.0,0.05,0.983333333,14,EnhWk8-,-0.510262021,EnhWk8,hypo
Monodelphis domestica,Opossum,Liver,10.1.3,Didelphimorphia,105.0,0.04109589,0.334246575,5.1,0.007520816,0.641955412,48,EnhWk8-,0.489504431,EnhWk8,hypo
Monodelphis domestica,Opossum,Skin,10.1.3,Didelphimorphia,105.0,0.04109589,0.334246575,5.1,0.007520816,0.434595756,45,EnhWk8-,0.751039126,EnhWk8,hypo
Mus musculus,Mouse,Aorta,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.086306099,0.110280015,20,EnhWk8-,-0.71199683,EnhWk8,hypo
Mus musculus,Mouse,Blood,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.68125,406,EnhWk8-,-0.405464976,EnhWk8,hypo
Mus musculus,Mouse,Cerebellum,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.020833333,0.5625,128,EnhWk8-,1.191100269,EnhWk8,hypo
Mus musculus,Mouse,Cortex,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.003767123,0.5625,161,EnhWk8-,0.19562666,EnhWk8,hypo
Mus musculus,Mouse,Fibroblast,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.005136986,0.648630137,84,EnhWk8-,-0.014076638,EnhWk8,hypo
Mus musculus,Mouse,Heart,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.004452055,0.546575343,120,EnhWk8-,0.693075917,EnhWk8,hypo
Mus musculus,Mouse,HematopoieticStem.Progenitor.LSK,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.090410959,0.568493151,12,EnhWk8-,0.356778756,EnhWk8,hypo
Mus musculus,Mouse,Hippocampus,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.065688531,0.338991178,18,EnhWk8-,0.241280539,EnhWk8,hypo
Mus musculus,Mouse,Kidney,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.038356165,0.561875,52,EnhWk8-,0.828998604,EnhWk8,hypo
Mus musculus,Mouse,Liver,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.694672131,597,EnhWk8-,0.364104426,EnhWk8,hypo
Mus musculus,Mouse,Lung,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.0625,0.561875,22,EnhWk8-,0.66971004,EnhWk8,hypo
Mus musculus,Mouse,MacrophagePeritoneal,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.086306099,0.110280015,42,EnhWk8-,11.79963361,EnhWk8,hypo
Mus musculus,Mouse,Muscle,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.5625,208,EnhWk8-,0.173585877,EnhWk8,hypo
Mus musculus,Mouse,Skin,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.625,57,EnhWk8-,0.235358663,EnhWk8,hypo
Mus musculus,Mouse,Striatum,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.020833333,0.5625,56,EnhWk8-,0.624131164,EnhWk8,hypo
Mus musculus,Mouse,SVZ,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.014395394,0.625,10,EnhWk8-,0.712214729,EnhWk8,hypo
Mus musculus,Mouse,Tail,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.395833333,69,EnhWk8-,-0.305782266,EnhWk8,hypo
Mus musculus,Mouse,WholeBrain,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.269925,29,EnhWk8-,1.44594601,EnhWk8,hypo
Myotis lucifugus,Little brown bat,Skin,8.7.8,Chiroptera,10.0,0.150684932,0.769,34.0,0.002941176,0.147058824,11,EnhWk8-,-0.458825625,EnhWk8,hypo
Myotis myotis,Greater mouse-eared bat,Skin,8.7.9,Chiroptera,28.55,0.178082192,1.375342466,37.1,0.026954178,0.242587601,38,EnhWk8-,-0.109164111,EnhWk8,hypo
Myotis vivesi,Fish-eating bat,Skin,8.7.10,Chiroptera,25.0,0.164383562,1.065753425,10.0,0.01,0.2,17,EnhWk8-,-0.405838708,EnhWk8,hypo
Nanger dama,Dama gazelle,Blood,4.1.13,Artiodactyla,56900.0,0.569863014,1.5,19.3,0.000425573,0.180442808,8,EnhWk8-,-0.650045833,EnhWk8,hypo
Nycticebus coucang,Slow loris,Blood&Skin,1.5.2,Primates,890.5,0.515068493,1.583561644,25.8,0.287596899,0.859689922,3,EnhWk8-,-0.09951854,EnhWk8,hypo
Nycticebus pygmaeus,Pygmy slow loris,Blood,1.5.3,Primates,419.0,0.515068493,0.747945205,20.0,0.035,0.9945,3,EnhWk8-,-0.10335665,EnhWk8,hypo
Nycticebus pygmaeus,Pygmy slow loris,Blood&Skin,1.5.3,Primates,419.0,0.515068493,0.747945205,20.0,0.035,0.9945,4,EnhWk8-,-0.124690492,EnhWk8,hypo
Nycticeius humeralis,Evening bat,Muscle,8.7.4,Chiroptera,9.75,0.150684932,0.833334247,6.0,0.0,0.5,24,EnhWk8-,0.554271253,EnhWk8,hypo
Odobenus rosmarus divergens,Pacific walrus,Blood,5.7.1,Carnivora,1012500.0,0.906849315,6.0,41.0,6.68e-05,0.992682927,11,EnhWk8-,-0.043356745,EnhWk8,hypo
Orcinus orca,Killer whale,Blood,4.13.5,Artiodactyla,3987500.0,1.457534247,10.50719178,80.0,0.011806982,0.6775,36,EnhWk8-,-0.013242658,EnhWk8,hypo
Orcinus orca,Killer whale,Skin,4.13.5,Artiodactyla,3987500.0,1.457534247,10.50719178,80.0,0.0,0.95,183,EnhWk8-,-0.019473629,EnhWk8,hypo
Oreamnos americanus,Mountain goat,Skin,4.1.16,Artiodactyla,90000.0,0.504109589,2.498630137,20.8,0.048076923,0.528846154,18,EnhWk8-,-0.183133905,EnhWk8,hypo
Oryctolagus cuniculus,European rabbit,Blood,3.1.1,Lagomorpha,1800.0,0.082191781,2.0,9.0,0.111111111,0.5,5,EnhWk8-,-0.518804403,EnhWk8,hypo
Otolemur crassicaudatus,Greater galago,Blood,1.7.2,Primates,1094.5,0.356164384,1.553424658,22.7,0.311894273,0.647136564,3,EnhWk8-,-0.174297654,EnhWk8,hypo
Otolemur crassicaudatus,Greater galago,Blood&Skin,1.7.2,Primates,1094.5,0.356164384,1.553424658,22.7,0.311894273,0.647136564,4,EnhWk8-,-0.15647817,EnhWk8,hypo
Ovis aries,Sheep,Blood,4.1.17,Artiodactyla,80000.0,0.4,2.002739726,22.8,0.127923977,0.306895711,168,EnhWk8-,-0.698705256,EnhWk8,hypo
Ovis aries,Sheep,Skin,4.1.17,Artiodactyla,80000.0,0.4,2.002739726,22.8,0.004563085,0.39963015,262,EnhWk8-,0.156507606,EnhWk8,hypo
Panthera leo nubica,Lion,Blood,5.2.4,Carnivora,175000.0,0.298630137,3.0,27.0,0.046666667,0.475777626,7,EnhWk8-,-0.116527117,EnhWk8,hypo
Panthera tigris,Tiger,Blood,5.2.5,Carnivora,161914.66,0.287671233,3.675342466,26.3,0.186860919,0.649429658,8,EnhWk8-,-0.197626698,EnhWk8,hypo
Papio hamadryas,Olive baboon,Adipose,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.199733333,0.609066667,41,EnhWk8-,-0.035060113,EnhWk8,hypo
Papio hamadryas,Olive baboon,Cerebellum,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.2144,0.609066667,38,EnhWk8-,0.074251306,EnhWk8,hypo
Papio hamadryas,Olive baboon,Cortex,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,-0.001384335,0.609066667,105,EnhWk8-,0.100148097,EnhWk8,hypo
Papio hamadryas,Olive baboon,Heart,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.159466667,0.609066667,47,EnhWk8-,0.072077669,EnhWk8,hypo
Papio hamadryas,Olive baboon,Liver,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.159466667,0.609066667,50,EnhWk8-,-0.033095451,EnhWk8,hypo
Peromyscus californicus,California mouse,Tail,9.5.9,Rodentia,42.0,0.082191781,0.126027397,5.5,0.015090909,0.5,16,EnhWk8-,-0.45735665,EnhWk8,hypo
Peromyscus eremicus,Cactus mouse,Tail,9.5.10,Rodentia,25.0,0.071232877,0.353424658,7.4,0.021621622,0.359459459,17,EnhWk8-,-0.015548365,EnhWk8,hypo
Peromyscus leucopus,White-footed mouse,Brain,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.073839662,0.29535865,7,EnhWk8-,0.77197052,EnhWk8,hypo
Peromyscus leucopus,White-footed mouse,Liver,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.073839662,0.29535865,8,EnhWk8-,-0.608734018,EnhWk8,hypo
Peromyscus leucopus,White-footed mouse,Tail,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.010506329,0.453164557,16,EnhWk8-,0.092624278,EnhWk8,hypo
Peromyscus maniculatus,Eastern deer mouse,Brain,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.070281124,0.291164659,12,EnhWk8-,0.081334005,EnhWk8,hypo
Peromyscus maniculatus,Eastern deer mouse,Liver,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.070281124,0.291164659,13,EnhWk8-,-0.690643489,EnhWk8,hypo
Peromyscus maniculatus,Eastern deer mouse,Tail,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.01,0.340963855,25,EnhWk8-,0.330597436,EnhWk8,hypo
Peromyscus polionotus,Oldfield mouse,Tail,9.5.13,Rodentia,14.0,0.065753425,0.076712329,5.5,0.015090909,0.347272727,16,EnhWk8-,0.625698216,EnhWk8,hypo
Phoca vitulina,Harbor seal,Blood,5.9.1,Carnivora,115000.0,0.693150685,3.5,48.0,0.010780287,1.0,57,EnhWk8-,-0.04116575,EnhWk8,hypo
Phoca vitulina,Harbor seal,Skin,5.9.1,Carnivora,115000.0,0.693150685,3.5,48.0,0.081335616,0.730022831,11,EnhWk8-,0.041161772,EnhWk8,hypo
Phyllostomus discolor,Pale spear-nosed bat,Skin,8.4.5,Chiroptera,43.4,0.287671233,2.0,18.0,0.0,0.983333333,50,EnhWk8-,-0.152488413,EnhWk8,hypo
Phyllostomus hastatus,Greater spear-nosed bat,Skin,8.4.6,Chiroptera,81.0,0.328767123,2.0,22.0,0.0,0.75,71,EnhWk8-,-0.149289047,EnhWk8,hypo
Propithecus coquereli,Coquerel's sifaka,Blood,1.2.3,Primates,4189.27,0.386273973,3.813726027,30.59,0.003269042,0.932330827,3,EnhWk8-,-0.069746982,EnhWk8,hypo
Propithecus coquereli,Coquerel's sifaka,Blood&Skin,1.2.3,Primates,4189.27,0.386273973,3.813726027,30.59,0.003269042,0.932330827,4,EnhWk8-,-0.074031342,EnhWk8,hypo
Propithecus diadema,Diademed sifaka,Blood&Skin,1.2.1,Primates,5550.0,0.430136986,2.875342466,21.0,0.675714286,0.888095238,3,EnhWk8-,-0.342870754,EnhWk8,hypo
Propithecus tattersalli,Golden-crowned sifaka,Blood,1.2.2,Primates,3545.0,0.404109589,4.498630137,26.0,0.135384615,0.978076923,3,EnhWk8-,-0.065747589,EnhWk8,hypo
Propithecus tattersalli,Golden-crowned sifaka,Blood&Skin,1.2.2,Primates,3545.0,0.404109589,4.498630137,26.0,0.135384615,0.978076923,3,EnhWk8-,-0.065747589,EnhWk8,hypo
Pteropus hypomelanus,Variable flying fox,Skin,8.5.4,Chiroptera,450.0,0.534246575,1.0,26.5,0.01509434,0.728301887,40,EnhWk8-,-0.027124025,EnhWk8,hypo
Pteropus poliocephalus,Grey-headed flying fox,Skin,8.5.5,Chiroptera,675.0,0.520547945,1.479452055,23.6,0.258474576,0.707627119,16,EnhWk8-,-0.01435224,EnhWk8,hypo
Pteropus pumilus,Little golden-mantled flying fox,Skin,8.5.6,Chiroptera,200.0,0.328767123,0.75,17.3,0.046242775,1.0,46,EnhWk8-,-0.068152098,EnhWk8,hypo
Pteropus rodricensis,Rodriguez flying fox,Skin,8.5.7,Chiroptera,350.0,0.542465753,1.50000274,28.0,0.142857143,0.746428571,19,EnhWk8-,-0.130312871,EnhWk8,hypo
Pteropus vampyrus,Large flying fox,Skin,8.5.8,Chiroptera,872.0,0.454794521,2.0,24.0,0.025,0.933333333,51,EnhWk8-,-0.0449292,EnhWk8,hypo
Rattus norvegicus,Brown rat,Adipose,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,38,EnhWk8-,-0.091802638,EnhWk8,hypo
Rattus norvegicus,Brown rat,Blood,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.010094282,0.605656835,140,EnhWk8-,-0.031499896,EnhWk8,hypo
Rattus norvegicus,Brown rat,Brain,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,18,EnhWk8-,0.340136693,EnhWk8,hypo
Rattus norvegicus,Brown rat,Cerebellum,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,39,EnhWk8-,0.608592959,EnhWk8,hypo
Rattus norvegicus,Brown rat,Heart,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,30,EnhWk8-,-0.34344539,EnhWk8,hypo
Rattus norvegicus,Brown rat,Liver,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,64,EnhWk8-,0.004799554,EnhWk8,hypo
Rattus norvegicus,Brown rat,Muscle,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.242105263,0.481578947,6,EnhWk8-,-0.74400382,EnhWk8,hypo
Rattus norvegicus,Brown rat,Neocortex,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,34,EnhWk8-,0.127234243,EnhWk8,hypo
Rattus norvegicus,Brown rat,Ovaries,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,30,EnhWk8-,-0.606245013,EnhWk8,hypo
Rattus norvegicus,Brown rat,Skin,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,37,EnhWk8-,-0.066037108,EnhWk8,hypo
Rattus norvegicus,Brown rat,Substantia nigra,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,22,EnhWk8-,-0.095802755,EnhWk8,hypo
Rhinolophus ferrumequinum,Greater horseshoe bat,Skin,8.6.1,Chiroptera,22.875,0.219178082,2.0,30.5,0.0,0.691803279,40,EnhWk8-,-0.130768239,EnhWk8,hypo
Rhynchonycteris naso,Proboscis bat,Skin,8.17.2,Chiroptera,3.9,0.405479452,1.5,8.5,0.011764706,0.705882353,22,EnhWk8-,-0.005502966,EnhWk8,hypo
Rousettus aegyptiacus,Egyptian fruit bat,Skin,8.5.9,Chiroptera,125.0,0.317808219,1.0,22.9,0.218340611,0.611353712,16,EnhWk8-,-0.198864075,EnhWk8,hypo
Saccopteryx bilineata,Greater sac-winged bat,Skin,8.17.1,Chiroptera,7.9,0.350684932,1.0,11.0,0.018181818,0.754545455,29,EnhWk8-,-0.209871247,EnhWk8,hypo
Sarcophilus harrisii,Tasmanian devil,Skin,18.1.1,Dasyuromorphia,8202.25,0.071232877,2.0,13.0,0.038461538,0.615384615,41,EnhWk8-,-0.276411686,EnhWk8,hypo
Sorex cinereus,Cinereus shrew,Liver,12.3.10,Eulipotyphla,4.3,0.052054795,0.421917808,1.9,0.175438596,0.657894737,11,EnhWk8-,1.037128624,EnhWk8,hypo
Sorex cinereus,Cinereus shrew,Tail,12.3.10,Eulipotyphla,4.3,0.052054795,0.421917808,1.9,0.087719298,0.701754386,33,EnhWk8-,0.803585057,EnhWk8,hypo
Steno bredanensis,Rough-toothed dolphin,Blood,4.13.10,Artiodactyla,114000.0,1.030136986,10.0,32.0,0.145106092,0.746321013,6,EnhWk8-,-0.101835546,EnhWk8,hypo
Steno bredanensis,Rough-toothed dolphin,Skin,4.13.10,Artiodactyla,114000.0,1.030136986,10.0,32.0,0.145448323,0.746663244,6,EnhWk8-,-0.05126688,EnhWk8,hypo
Sus scrofa domesticus,Pig,Bladder,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,15,EnhWk8-,0.178887317,EnhWk8,hypo
Sus scrofa domesticus,Pig,Blood,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.001310304,0.272185825,98,EnhWk8-,-0.429928037,EnhWk8,hypo
Sus scrofa domesticus,Pig,FrontalCortex,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,EnhWk8-,0.228040596,EnhWk8,hypo
Sus scrofa domesticus,Pig,Kidney,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,EnhWk8-,0.255583831,EnhWk8,hypo
Sus scrofa domesticus,Pig,Liver,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,EnhWk8-,-0.240778634,EnhWk8,hypo
Sus scrofa domesticus,Pig,Lung,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,15,EnhWk8-,-0.355206258,EnhWk8,hypo
Sus scrofa minusculus,Winsconsin miniature pig,Blood,4.7.2,Artiodactyla,100000.0,0.315068493,0.458334,23.0,0.000952948,0.223942823,60,EnhWk8-,-0.192772305,EnhWk8,hypo
