SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,state,arocm,state_base,direction
Eulemur sanfordi,Sanford's brown lemur,Blood&Skin,1.3.10,Primates,2111.34,0.328767123,1.819178082,32.94,0.286581664,1.0,4,TxEx2-,-0.065380588,TxEx2,hypo
Felis catus,Domestic cat,Blood,5.2.2,Carnivora,3900.0,0.178082192,0.791780822,30.0,0.007032349,0.697222333,128,TxEx2-,-0.083943492,TxEx2,hypo
Globicephala macrorhynchus,Short-finned pilot whale,Blood,4.13.3,Artiodactyla,2200000.0,1.238356164,12.05753425,63.0,0.11968254,0.30031746,9,TxEx2-,0.136464633,TxEx2,hypo
Gorilla gorilla,Western lowland gorilla,Blood,1.1.2,Primates,139842.0,0.701369863,9.375342466,60.1,0.078855569,0.78985025,6,TxEx2-,-0.056939491,TxEx2,hypo
Hapalemur griseus,Bamboo lemur,Blood,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,3,TxEx2-,-0.103233888,TxEx2,hypo
Hapalemur griseus,Bamboo lemur,Blood&Skin,1.3.11,Primates,1012.5,0.397260274,3.049315068,27.0,0.273333333,0.967407407,4,TxEx2-,-0.104682742,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Blood,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,94,TxEx2-,0.022013089,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Cortex,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,15,TxEx2-,-0.15968893,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Heart,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.287449093,21,TxEx2-,0.056882073,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Kidney,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.000148093,0.621621622,33,TxEx2-,0.007592297,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Liver,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.702702703,70,TxEx2-,-0.027874535,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Lung,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,19,TxEx2-,0.012463644,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Muscle,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.00311013,0.287449093,21,TxEx2-,-0.061688597,TxEx2,hypo
Heterocephalus glaber,Naked mole rat,Skin,9.1.3,Rodentia,35.0,0.191780822,5.0,37.0,0.0,0.675675676,107,TxEx2-,0.032365628,TxEx2,hypo
Hippotragus equinus,Roan antelope,Blood,4.1.9,Artiodactyla,225000.0,0.778082192,2.115068493,25.9,0.000528543,0.372411132,6,TxEx2-,0.03805551,TxEx2,hypo
Hippotragus niger,Sable antelope,Blood,4.1.10,Artiodactyla,225000.0,0.742465753,2.673972603,22.2,0.000123327,0.527027027,5,TxEx2-,-0.157664008,TxEx2,hypo
Homo sapiens,Human,Adipose,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,TxEx2-,-0.003378012,TxEx2,hypo
Homo sapiens,Human,Blood,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.09322449,0.75137825,584,TxEx2-,0.008997,TxEx2,hypo
Homo sapiens,Human,BoneMarrow,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.603265306,20,TxEx2-,-0.028743735,TxEx2,hypo
Homo sapiens,Human,Cerebellum,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,TxEx2-,-0.004755604,TxEx2,hypo
Homo sapiens,Human,Cortex,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,TxEx2-,-0.000669596,TxEx2,hypo
Homo sapiens,Human,Heart,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx2-,0.002898514,TxEx2,hypo
Homo sapiens,Human,Kidney,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx2-,0.021379957,TxEx2,hypo
Homo sapiens,Human,Liver,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx2-,0.003461057,TxEx2,hypo
Homo sapiens,Human,Lung,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.696326531,113,TxEx2-,0.003241435,TxEx2,hypo
Homo sapiens,Human,LymphNode,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.633469388,27,TxEx2-,0.012795793,TxEx2,hypo
Homo sapiens,Human,Muscle,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,TxEx2-,-0.016607066,TxEx2,hypo
Homo sapiens,Human,Skin,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.0,0.759183673,74,TxEx2-,0.005474274,TxEx2,hypo
Indriidae,Indriidae,Blood,1.2,Primates,4287.85125,0.403928082,3.835969178,26.47125,0.003866478,1.102719423,8,TxEx2-,-0.043229826,TxEx2,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Blood,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.970487805,17,TxEx2-,-0.058180825,TxEx2,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Skin,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.985232209,17,TxEx2-,-0.035593077,TxEx2,hypo
Lemur catta,Ring-tailed lemur,Blood,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,3,TxEx2-,0.033136071,TxEx2,hypo
Lemur catta,Ring-tailed lemur,Blood&Skin,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,4,TxEx2-,0.026069977,TxEx2,hypo
Lemuridae,Lemuridae,Blood,1.3,Primates,2328.465385,0.330593607,2.014365999,34.63358974,0.001748487,1.147881641,39,TxEx2-,-0.037675789,TxEx2,hypo
Lemuridae,Lemuridae,Skin,1.3,Primates,2315.703077,0.330874605,2.048050579,34.68692308,0.001741528,1.003991002,13,TxEx2-,-0.058628173,TxEx2,hypo
Leptonycteris yerbabuenae,Lesser long-nosed bat,Skin,8.4.4,Chiroptera,25.0,0.410958904,1.0,10.1,0.01980198,0.495049505,11,TxEx2-,-0.430345273,TxEx2,hypo
