SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,TxEx2-,BivProm2+,BivProm2-,ReprPC1+,ReprPC1-,BivProm1+,BivProm1-,EnhWk4-,TxEx1-,PromF5+,PromF5-,TxEnh4-,TxEx3-,EnhA17-,BivProm4+,BivProm4-,Tx7-,PromF4+,PromF4-,TxEnh5-,TxWk2-,BivProm3+,BivProm3-,EnhA2-,TxWk1-,TSS1+,TSS1-,EnhWk8-,EnhA6-,EnhWk3-,Tx6-,Tx5-,TSS2+,TSS2-,Tx8-,ReprPC4-,Quies3-,ReprPC2+,ReprPC2-,ReprPC6-,ReprPC3-,EnhA18-,PromF3+,PromF3-,TxEx4-,ReprPC5-,TxEnh8-,ReprPC7-,EnhA19-,Tx4-,PromF2+,Quies1-,Acet2-,PromF1+
Cheirogaleidae,Cheirogaleidae,Blood,1.6,Primates,248.9333333,0.193150685,0.921917808,22.73333333,0.020674487,1.302932551,6,-0.084868738,0.074499017,0.04081295,0.062009648,0.024387071,0.083616414,0.068615701,-0.08728674,-0.079143182,0.049189775,0.062697323,-0.084990296,-0.085151798,-0.085348987,-0.018070038,-0.065138282,-0.050439954,0.070901422,-0.045724984,-0.082190344,-0.086549967,0.062824933,-0.05184345,-0.08255337,-0.085535734,0.052523382,-0.015985402,-0.0871717,-0.085678386,-0.086011001,-0.041579332,-0.085661528,0.06945788,0.06879601,-0.085820301,-0.086906391,-0.086491736,0.065924811,-0.082696255,-0.086732181,-0.082064128,-0.087224124,0.004882848,-0.017769614,-0.085050759,-0.085782811,-0.080035062,-0.072169827,-0.078168465,-0.051905818,-0.04422123,-0.08713799,-0.086925373,-0.021214398
Cheirogaleus medius,Fat-tailed dwarf lemur,Blood&Skin,1.6.1,Primates,380.0,0.167123288,1.0,30.0,0.033,0.987333333,3,-0.059131029,0.052247283,0.043490693,0.059013822,0.048059409,0.04772839,0.037119104,-0.060404182,-0.058038736,0.031658295,0.005569813,-0.050524886,-0.059876158,-0.057951543,0.012202186,-0.042649669,-0.033244267,0.050809342,0.039111278,-0.058357886,-0.050325169,0.018893305,-0.047256499,-0.05201385,-0.038835611,0.060454334,0.035879313,-0.059095201,-0.058553425,-0.052832737,-0.016261109,-0.042609437,0.034116528,0.011455806,-0.054400263,-0.059853328,-0.046327997,0.058063722,-0.060199373,-0.058923972,-0.06006402,-0.060384725,0.026344949,-0.025447145,-0.044487867,-0.050715137,-0.050407807,-0.055861555,-0.049767744,-0.041659243,-0.038057837,-0.054396394,-0.060459781,0.041691917
Chlorocebus aethiops sabaeus,Vervet,Blood,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,8.9e-05,0.812399929,144,-0.089355544,0.100360347,0.100536852,0.097228029,0.092351586,0.100163022,0.102194391,-0.094041815,-0.083041134,0.094378373,0.093558368,-0.062952033,-0.106877998,-0.097348219,0.082776797,-0.043405488,-0.054265461,-0.021438211,0.047775389,-0.096614537,-0.099026529,0.100994102,0.010808309,-0.102314376,-0.090049926,0.087741264,0.058677269,-0.099753438,-0.097361425,-0.097214915,-0.07480684,-0.101184965,0.105721388,0.109235291,-0.100083128,-0.086545385,-0.092180365,0.101260931,-0.071080786,-0.086171111,-0.087446469,-0.092802601,0.049480098,0.071657324,-0.086811557,-0.061292742,-0.088285824,-0.0865796,-0.067596883,-0.086372647,0.055791758,-0.093993005,-0.092761561,0.022553354
Chlorocebus aethiops sabaeus,Vervet,Cortex,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,0.0,0.743728874,48,-0.073127286,0.14370317,0.092122482,0.143949063,0.12037716,0.148555111,0.103307547,0.074308716,-0.11515236,0.086478516,0.06519535,-0.121049325,0.020386982,0.066687486,0.108550193,-0.005801691,0.03857362,-0.060922812,0.003407267,0.039225122,0.047077475,0.098253406,0.08096314,0.044386062,0.102416412,-0.012535754,0.040482793,0.081913097,0.026303432,0.070838577,0.085192251,0.030347325,0.102305788,0.083667548,0.067242676,0.095137087,0.098938785,0.135114727,0.103363608,0.109651366,0.085114525,0.079903688,0.075565694,0.036955415,-0.127401421,0.100839062,-0.004948587,0.101863741,0.06197704,-0.038451593,0.090962973,0.106010401,0.069082142,0.033985436
Chlorocebus aethiops sabaeus,Vervet,Liver,1.4.1,Primates,5620.0,0.443835616,3.916438356,30.8,0.0,0.708503825,48,-0.103605388,0.161830336,0.157431577,0.15668019,0.127382718,0.169054982,0.149307265,-0.146039449,-0.080845259,0.15379144,0.142725823,-0.035363062,-0.102822855,-0.003082968,0.130948332,0.082195522,-0.107842977,-0.052394183,0.002665006,-0.079292431,-0.101499414,0.144797731,0.086510144,-0.137875137,-0.115836972,0.074076346,0.045590623,-0.115978617,-0.124507585,-0.135108188,-0.104743515,-0.108528884,0.156634331,0.148262256,-0.034573428,-0.141488424,-0.149152859,0.138878523,-0.043545487,-0.075532565,-0.078854522,0.019211157,-0.046164524,0.102793962,-0.085766714,0.058360034,-0.124711616,-0.029801118,0.095791026,-0.03777607,0.104390977,-0.138962196,-0.099367194,0.092798237
Chrysocyon brachyurus,Maned wolf,Blood,5.1.3,Carnivora,21500.0,0.175342466,2.0,16.8,0.282585313,0.810925329,5,-0.088660449,0.243295304,0.258455454,0.263018775,0.261970322,0.247120412,0.270201545,-0.227230206,-0.043075526,0.242120962,0.180915813,-0.146555983,-0.076759729,-0.152807423,0.178185262,0.102890008,-0.15439274,0.006798612,0.080531837,-0.234806572,-0.142487535,0.154278078,0.130451072,-0.171400621,-0.191134589,0.24359283,0.040682611,-0.179537758,-0.173923776,-0.162864626,-0.154307799,-0.199764363,0.255584426,0.261546245,-0.149631095,-0.190036019,-0.181553055,0.19486917,-0.005638834,-0.208927252,-0.237274856,-0.100251116,-0.085035103,0.25851721,-0.089499645,-0.049946947,-0.022742073,-0.135360146,0.044317277,-0.114723738,0.182520912,-0.224876333,-0.23944835,-0.0792236
Connochaetes taurinus albojubatus,White-bearded gnu,Blood,4.1.6,Artiodactyla,164500.0,0.693150685,1.812328767,24.3,0.288065844,0.780658436,10,0.018871552,0.183448508,0.172462284,0.170463565,0.120199961,0.181775977,0.19646295,-0.063885241,0.042065101,0.146138287,0.180851039,0.068285597,-0.022516218,-0.017201554,0.147066464,0.032803834,0.07155345,-0.117859739,0.182921201,-0.007322631,-0.034985371,0.109472126,0.021010385,-0.009740877,-0.013739692,-0.088333621,0.181595844,-0.067265191,-0.001359092,-0.031060629,0.09440943,-0.042719139,0.198803889,0.194243457,0.011642686,-0.046585251,-0.041132914,0.094245574,-0.042158102,-0.029956192,-0.006935585,-0.050358741,0.164524708,0.165952211,0.008354558,-0.02037303,0.05485583,0.050662339,-0.00700473,0.061780674,0.030077238,-0.045733468,-0.046259355,-0.022400247
Crocuta crocuta,Spotted hyena,Blood,5.5.1,Carnivora,63000.0,0.301369863,2.375342466,41.1,0.032116788,0.426034063,6,-0.111680131,0.130703586,0.129027078,0.130898661,0.130473075,0.130573187,0.123612148,-0.089920189,-0.096413526,0.103460148,0.11225943,-0.07865656,-0.092541746,-0.092990368,-0.064440812,0.096395483,-0.112369614,-0.013484761,-0.120668751,-0.067408211,-0.046178642,0.129289465,0.113687651,-0.072120761,-0.10936425,0.103049113,-0.107782547,-0.108030166,-0.05591277,-0.004250754,-0.080888645,-0.104270078,0.126715521,0.063296991,-0.088885182,-0.098343979,-0.122606656,0.129623977,-0.01553955,-0.025620788,0.0571684,0.059725169,-0.000329346,-0.104937509,-0.078576782,0.041134318,-0.086337656,-0.09724162,0.007197736,-0.098105907,-0.092021069,-0.126939504,-0.018078363,0.108825503
Cynopterus brachyotis,Lesser short-nosed fruit bat,Skin,8.5.1,Chiroptera,45.0,0.306849315,0.69,13.0,0.515384615,0.992307692,10,-0.310822155,0.272845494,0.369355739,0.270594797,-0.013350186,0.277607459,0.3674327,-0.342988923,-0.300638955,0.15352913,0.312012025,-0.25358283,-0.282168811,-0.214661477,0.165619382,0.273092083,-0.281346705,-0.171902895,0.315415921,-0.315855258,-0.315589891,-0.043297732,0.011241603,-0.190179023,-0.341490835,-0.252103571,0.331716358,-0.350166085,-0.29706125,-0.306479876,-0.272767383,-0.365779671,0.350363992,0.331970927,-0.334710768,-0.367397491,-0.384951114,0.069605462,-0.075717275,-0.13660129,-0.246800197,-0.166682941,-0.096156505,-0.213797422,-0.278668372,-0.083912632,-0.178271288,-0.296665495,0.00860661,-0.291446657,-0.153982231,-0.323805158,-0.224731593,-0.015953279
Daubentonia madagascariensis,Aye-aye,Blood,1.9.1,Primates,2277.5,0.452054795,4.25,37.0,0.018918919,0.991081081,3,-0.051555937,0.052410609,0.048530639,0.052777879,0.051073909,0.053664686,0.047501938,-0.054939776,-0.051568245,0.049944248,0.04731879,-0.049991766,-0.054927931,-0.051892927,0.046358483,0.034113849,-0.050740264,-0.041801785,-0.049731163,-0.054684452,-0.054686444,0.054658399,0.046685081,-0.053529265,-0.054997147,0.050625636,0.028638719,-0.054957047,-0.055007874,-0.054853033,-0.049610365,-0.054674362,0.047409528,0.053889043,-0.052273105,-0.05469212,-0.054508083,0.054344968,0.007241769,-0.052576126,-0.054904859,-0.054991829,-0.044312575,0.011236921,-0.054981149,0.040079758,-0.045557425,-0.053446734,-0.034220303,-0.051939707,0.054683418,-0.054990612,-0.054346266,0.035657814
