SpeciesLatinName,SpeciesCommonName,Order,n_tissues,n_samples,adult_mass_g,max_lifespan_y,maturity_y,gestation_y,span_y,arocm,arocm_mean_states,contrast,tissues,log_mass,log_lifespan,log_span,log_arocm,log_contrast,implied_cor,lq_resid,longevity_quotient,resid_M1,resid_M2,resid_M3,resid_M4,resid_M5,resid_student,cooks_d,p_outlier,q_outlier,signif,fit_lo,fit_hi
Myotis myotis,Greater mouse-eared bat,Chiroptera,1,38,28.55,37.1,1.375342466,0.178082192,7.999999993300001,0.230531605,0.10660520440740741,2.1624798365283344,Skin,3.351656936102019,3.6136169696133895,2.079441540842336,-1.4673673109773697,0.7712556356316801,0.5323899363679895,1.1049467524826588,3.0190637068794337,-0.3519881389443864,-0.10605007269407118,-0.18915111258832984,0.24777978302523218,-0.07438414611606647,-0.29158605346758026,0.0006333099061999592,0.7710983437386495,0.9764587990474115,False,-1.4573141446623674,-1.269034102077631
Myotis vivesi,Fish-eating bat,Chiroptera,1,17,25.0,10.0,1.065753425,0.164383562,1.9,1.081279638,0.6256416081296299,1.7282732221607042,Skin,3.2188758248682006,2.302585092994046,0.6418538861723947,0.07814518975533313,0.5471227725593893,0.5930632355651332,-0.1887256398708037,0.8280136494656926,1.1736339577645645,0.05737588400054469,0.0143453475660099,0.021724428467652546,-0.014218797882905032,0.1589938353454422,0.0003295182320318365,0.873936633830893,0.9764587990474115,False,-0.1093340143488584,0.15559789365518956
Nanger dama,Dama gazelle,Artiodactyla,1,8,56900.0,19.3,1.5,0.569863014,3.4743326355,0.651598473,0.5309804167962964,1.2271610258838925,Blood,10.949050620114422,2.9601050959108397,1.2454024132351746,-0.42832674571923973,0.20470339255735268,0.6535229307630572,-0.5418301639191783,0.5816827029110426,1.8251301882659268,0.25910910451892327,0.2983118064522872,-0.20877244173187018,0.0758124960349793,0.7213882119592263,0.007721894159835811,0.4720509235127742,0.9764587990474115,False,-0.8506149137401474,-0.5397203958764342
Nycticebus coucang,Slow loris,Primates,1,3,890.5,25.8,1.583561644,0.515068493,14.759999993400003,0.126781987,0.06014024742592598,2.1081055104762565,Blood&Skin,6.791783102729716,3.250374491927572,2.691920818725172,-2.0652863054298773,0.7457896818346272,0.5401983934610489,0.2919504242129394,1.3390366321988079,-0.4345815821111143,-0.058720884377847504,0.07090262039282313,0.272122218404974,-0.05341556868418751,-0.16053565110612883,9.592194830994082e-05,0.8727246548687771,0.9764587990474115,False,-2.0765456643683713,-1.9417333199250808
Nycticebus pygmaeus,Pygmy slow loris,Primates,2,7,419.0,20.0,0.747945205,0.515068493,19.19,0.10277320582351938,0.08786635034773425,1.1818886785705023,Blood|Blood&Skin,6.037870919922137,2.995732273553991,2.9543893100196086,-2.2752306036746393,0.1671137339822275,0.5693302445675831,0.13587287782992474,1.145536261283076,-0.7574607532088773,-0.02930423450280495,0.08832482576270806,-0.3174693614875196,-0.027167790594189167,-0.0803689800113553,3.8377545549828344e-05,0.9360754867702996,0.9764587990474115,False,-2.3342927966057543,-2.166428534719168
Nycticeius humeralis,Evening bat,Chiroptera,1,24,9.75,6.0,0.833334247,0.150684932,3.0,0.515378244,0.33908987188888884,1.5198868699000139,Muscle,2.277267285009756,1.791759469228055,1.0986122886681098,-0.662854193529091,0.4186359043909472,0.446330651861815,-0.5764476197494646,0.5618908754443352,0.29158307915849657,-0.26090233459954887,-0.32257923441095837,-0.12039566195305318,-0.16455348252566193,-0.7220773359503574,0.005582479459474961,0.471628691165884,0.9764587990474115,False,-0.516363301161781,-0.28043799389071467
Odobenus rosmarus divergens,Pacific walrus,Carnivora,1,11,1012500.0,41.0,6.0,0.906849315,40.697261207000004,0.061745578,0.035596836277777766,1.7345804980580881,Blood,13.82793307796283,3.713572066704308,3.7061607979730247,-2.784732917374297,0.5507655963006513,0.7254047933415675,-0.16474138627350143,0.8481130093948638,-0.10002386709480149,0.31266936210189655,0.09758826140041776,0.17897209891110277,0.15870745457320568,0.8638988395328222,0.006644957795417948,0.3893387621377845,0.9764587990474115,False,-3.236308669840884,-2.967309825852923
Orcinus orca,Killer whale,Artiodactyla,2,219,3987500.0,80.0,10.50719178,1.457534247,72.26116845589041,0.01117428083664019,0.010310686856594085,1.2455675268749284,Blood|Skin,15.198675026075238,4.382026634673881,4.2802868957505416,-4.494140495216425,0.21959127093041772,0.23309552652305057,0.3245056644541169,1.3833466395141356,-1.604096432246386,-0.8228068648561018,-0.8443318877769048,-0.13235573098031259,-0.32835807172043663,-2.3338968823151194,0.07380047392797859,0.021236723732064033,0.4459711983733447,False,-3.840151204103189,-3.5153669951553623
Oreamnos americanus,Mountain goat,Artiodactyla,1,18,90000.0,20.8,2.498630137,0.504109589,10.0000000048,0.22637387,0.10866867581481483,2.083156607022338,Skin,11.407564949312402,3.0349529867072724,2.302585093474046,-1.4855673545083015,0.733884342852771,0.6534850742236596,-0.5269273376686887,0.5904163354292339,0.8365743131237138,0.2242532713282699,0.23615833601190217,0.32704717791625326,0.07752867509109407,0.616054507637223,0.002283432118737171,0.5390062627975646,0.9764587990474115,False,-1.8234791788706664,-1.606883705488468
Oryctolagus cuniculus,European rabbit,Lagomorpha,1,5,1800.0,9.0,2.0,0.082191781,3.500000001,0.481122009,0.4359015119074072,1.1037401703304905,Blood,7.495541943884256,2.1972245773362196,1.2527629687810824,-0.7316343840772075,0.09870456719353689,0.4861078626049942,-0.8532072346763488,0.4260463078802562,1.0044923194899484,-0.09471479902876201,,-0.3647734169702447,-0.10481388693218524,-0.26064564190737644,0.000549893488211175,0.7948052201318198,0.9764587990474115,False,-0.7474010434843461,-0.5314409461446239
